,rank,name,address,lat,lng,english_rank,english_name,english_address,picture_name,star_rate,telephone_number
19,5성급 호텔,임피리얼팰리스호텔,서울특별시 강남구 논현2동 언주로 640,37.514021,127.0358805,5-star hotel,Imperial Palace Hotel.,"640 Eonju-ro, Nonhyeon 2-dong, Gangnam-gu, Seoul",hotel21,4.2,연락처: 02-3440-8000
20,5성급 호텔,콘래드서울,서울특별시 영등포구 여의도동 국제금융로 10,37.5253357,126.9265542,5-star hotel,Conrad Seoul.,"10, International Finance-ro, Yeouido-dong, Yeongdeungpo-gu, Seoul",hotel22,4.4,연락처: 02-6137-7000
21,5성급 호텔,파크하얏트서울호텔,서울특별시 강남구 대치동 테헤란로 606,37.5085791,127.0641676,5-star hotel,Park Hyatt Seoul Hotel.,"606, Teheran-ro, Gangnam-gu, Seoul, Republic of Korea",hotel23,4.4,연락처: 02-2016-1234
22,5성급 호텔,THE PLAZA Seoul Autograph Collection,서울특별시 중구 태평로2가 23,37.564636,126.978059,5-star hotel,Plaza Hotel.,"119, Sogong-ro, Jung-gu, Seoul, Republic of Korea",hotel24,4.4,연락처: 02-771-2200
23,4성급 호텔,노보텔앰배서더독산,서울특별시 금천구 독산4동 1030-1,37.4674344,126.8984245,4-star hotel,Novotel Ambassador Doksan.,"378, Siheung-daero, Geumcheon-gu, Seoul, Republic of Korea",hotel25,4.2,연락처: 02-838-1101
24,5성급 호텔,카페스타시오(라마다서울호텔),서울특별시 강남구 삼성동 112-5,37.5103398,127.0452919,5-star hotel,Ramada Seoul Hotel.,"410, Bongeunsa-ro, Gangnam-gu, Seoul, Republic of Korea",hotel26,3.7,연락처: 02-6202-2033
25,5성급 호텔,라마다호텔 남대문 리에나,서울특별시 중구 순화동 151,37.5604462,126.9718322,5-star hotel,Ramada Hotel & Sweet.,"27, Chilpae-ro, Jung-gu, Seoul, Republic of Korea",hotel27,리뷰없음,연락처: 02-775-7050
26,4성급 호텔,켄싱턴호텔 여의도,서울특별시 영등포구 여의도 국회대로76길 16,37.5302453,126.921803,4-star hotel,Lexington Hotel.,"16, Gukhoe-daero 76-gil, Yeongdeungpo-gu, Seoul, Republic of Korea",hotel28,3.7,연락처: 02-6670-7000
27,4성급 호텔,롯데시티호텔마포,서울특별시 마포구 아현동 마포대로 109,37.544691,126.950552,4-star hotel,Lotte City Hotel Mapo.,"109, Mapo-daero, Ahyeon-dong, Mapo-gu, Seoul",hotel29,4.2,연락처: 02-6009-1000
28,3성급 호텔,베스트웨스턴강남호텔,서울특별시 강남구 논현1동 봉은사로 139,37.50634,127.029774,3-star hotel,Best Western Gangnam Hotel.,"139 Bongeunsa-ro, Nonhyeon 1-dong, Gangnam-gu, Seoul",hotel30,4,연락처: 02-6474-2000
29,4성급 호텔,베스트웨스턴호텔나이아가라,서울특별시 강서구 염창동 259-2,37.5406675,126.9483461,4-star hotel,"Best Western Hotel, Niagara.","259-2 Yeomchang-dong, Gangseo-gu, Seoul",hotel31,리뷰없음,연락처:02-3660-4000
30,3성급 호텔,서울가든호텔,서울특별시 마포구 도화동 마포대로 58,37.5406675,126.9483461,3-star hotel,Seoul Garden Hotel.,"58, Mapo-daero, Mapo-gu, Seoul, Republic of Korea",hotel32,4.1,연락처: 02-710-7111
31,4성급 호텔,세종호텔,서울특별시 중구 명동 퇴계로 145,37.5613363,126.9879273,4-star hotel,Sejong Hotel.,"145 Toegye-ro, Myeongdong, Jung-gu, Seoul",hotel33,3.9,연락처: 02-773-6000
32,4성급 호텔,스탠포드호텔서울,서울특별시 마포구 상암동 월드컵북로58길 15,37.5823612,126.8868368,4-star hotel,Stanford Hotel Seoul.,"15, World Cup Buk-ro 58-gil, Sangam-dong, Mapo-gu, Seoul",hotel34,4,연락처: 02-6016-0001
33,4성급 호텔,Mondrian Seoul Itaewon,서울특별시 용산구 이태원 몬드리안,37.5285885,126.993091,4-star hotel,Capital Hotel.,"23, Jangmun-ro, Yongsan-gu, Seoul, Republic of Korea",hotel35,4.4,연락처: 02-2076-2000
34,4성급 호텔,코리아나호텔,서울특별시 중구 태평로1가 세종대로 135,37.5681809,126.9765031,4-star hotel,Koreana Hotel.,"135, Sejong-daero, Jung-gu, Seoul, Republic of Korea",hotel36,3.9,연락처: 02-2171-7000
35,4성급 호텔,퍼시픽호텔,서울특별시 중구 명동 퇴계로20길 2,37.5596964,126.9854104,4-star hotel,Pacific Hotel.,"2, Toegye-ro 20-gil, Jung-gu, Seoul",hotel37,4.2,연락처: 02-777-7811
36,4성급 호텔,프리마호텔,서울특별시 강남구 청담동 도산대로 536,37.5242756,127.052191,4-star hotel,Prima Hotel.,"536, Dosan-daero, Cheongdam-dong, Gangnam-gu, Seoul",hotel38,3.8,연락처: 02-6006-9114
37,4성급 호텔,코머스,서울특별시 강남구 청담동 53-7,37.5238168,127.0542475,4-star hotel,Hotel Rivera.,"737, Yeongdong-daero, Gangnam-gu, Seoul, Republic of Korea",hotel39,리뷰없음,연락처: 02-3438-4326
38,4성급 호텔,호텔프레지던트,서울특별시 중구 을지로1가 을지로 16,37.565622,126.979443,4-star hotel,Hotel President.,"1, Eulji-ro 40-gil, Jung-gu, Seoul, Republic of Korea",hotel40,4,연락처: 02-753-3131
39,4성급 호텔,PJ호텔,서울특별시 중구 인현동2가 마른내로 71,37.5648129,126.9956862,4-star hotel,Hotel PJ.,"71, Mareunnae-ro, Jung-gu, Seoul, Republic of Korea",hotel41,4,연락처: 02-2280-7000
40,3성급 호텔,노블레스관광호텔,서울특별시 노원구 상계동 노해로77길 22,37.6552237,127.0593635,3-star hotel,Noblesse Tourist Hotel.,"22, Nohae-ro 77-gil, Sanggye-dong, Nowon-gu, Seoul, Republic of Korea",hotel42,3.3,연락처: 02-935-7161
41,3성급 호텔,호텔 레이크,서울특별시 송파구 석촌동 158,37.50683,127.100985,3-star hotel,Lake Hotel.,"158 Seokchon-dong, Songpa-gu, Seoul",hotel43,3.8,연락처: 02-422-1001
42,3성급 호텔,메트로호텔,서울특별시 중구 을지로2가 명동9가길 14,37.565127,126.983688,3-star hotel,Metro Hotel.,"2, Eulji-ro 27ga-gil, Jung-gu, Seoul, Republic of Korea",hotel45,4.3,연락처: 02-752-1112
43,3성급 호텔,사보이호텔,서울특별시 중구 명동 명동8나길 10,37.5616083,126.9845271,3-star hotel,Savoy Hotel.,"10, Myeongdong 8-na-gil, Jung-gu, Seoul",hotel47,3.9,연락처: 02-772-7700
44,4성급 호텔,삼정호텔,서울특별시 강남구 역삼1동 봉은사로 150,37.5058338,127.0311099,4-star hotel,Samjeong Tourist Hotel.,"150 Bongeunsa Temple in Yeoksam 1-dong, Gangnam-gu, Seoul",hotel48,3.7,연락처: 02-557-1221
45,3성급 호텔,서울렉스호텔,서울특별시 중구 회현동 퇴계로10길 23,37.5586053,126.9809491,3-star hotel,Seoul Rex Hotel.,"23 Toegye-ro 10-gil, Hoehyeon-dong, Jung-gu, Seoul, Republic of Korea",hotel49,3.6,연락처: 02-752-3191
46,3성급 호텔,디어스명동호텔,서울특별시 중구 남학동 퇴계로 176,37.5653,126.980979,3-star hotel,Astoria Hotel.,"176 Toegye-ro, Namhak-dong, Jung-gu, Seoul, Republic of Korea",hotel50,4,연락처: 02-2079-8500
47,4성급 호텔,노보텔 앰배서더 서울 강남,서울특별시 강남구 역삼1동 봉은사로 130,37.5050612,127.0570773,4-star hotel,Ambassador.,"130 Bongeunsa-ro, Yeoksam 1-dong, Gangnam-gu, Seoul",hotel51,4.2,연락처: 02-567-1101
48,5성급 호텔,페어몬트 앰배서더 서울,서울특별시 영등포구 여의도동 108,37.5301983,126.9252664,5-star hotel,Yeouido Tourist Hotel.,"108, Yeouido-dong, Yeongdeungpo-gu, Seoul",hotel52,4.4,연락처: 02-3395-6000
49,3성급 호텔,영동관광호텔,서울특별시 강남구 논현1동 도산대로 144,37.5177083,127.0247163,3-star hotel,Yeongdong Tourist Hotel.,"144 Dosan-daero, Nonhyeon 1-dong, Gangnam-gu, Seoul",hotel53,3.5,연락처: 02-542-0112
50,3성급 호텔,캘리포니아관광호텔,서울특별시 송파구 가락동 98-6,37.4940697,127.1191669,3-star hotel,California Tourist Hotel.,"98-6, Garak-dong, Songpa-gu, Seoul",hotel54,3.4,연락처: 02-401-4653
51,3성급 호텔,크라운관광호텔,서울특별시 용산구 이태원1동 녹사평대로 140,37.5739444,126.9881833,3-star hotel,Crown Tourist Hotel.,"140 Noksapyeong-daero, Itaewon 1-dong, Yongsan-gu, Seoul",hotel55,3.5,연락처: 02-797-4111
52,3성급 호텔,트리아관광호텔,서울특별시 강남구 역삼동 677-11 트리아관광호텔,37.5028748,127.0394336,3-star hotel,Tria Tourist Hotel.,"677-11 Trio Tourist Hotel in Yeoksam-dong, Gangnam-gu, Seoul",hotel56,3.5,연락처: 02-553-2471
53,2성급 호텔,프린스호텔,서울특별시 강남구 대치동 890-40,37.560651,126.98625,2-star hotel,Prince Hotel.,"43, Seolleung-ro 86-gil, Gangnam-gu, Seoul, Republic of Korea",hotel57,2.9,연락처: 02-2554-1901
54,5성급 호텔,그랜드 워커힐 서울,서울특별시 광진구 광장동 워커힐로 177,37.5478684,127.109668,5-star hotel,Han River Hotel.,"177, Walkerhill-ro, Gwangjin-gu, Seoul, Republic of Korea",hotel58,4.4,연락처: 02-455-5000
55,3성급 호텔,해밀톤호텔,서울특별시 용산구 이태원1동 이태원로 179,37.5347906,126.9935937,3-star hotel,Hamilton Hotel.,"179, Itaewon-ro, Itaewon 1-dong, Yongsan-gu, Seoul",hotel59,4,연락처: 02-3786-6000
56,2성급 호텔,호텔잠실스테이,서울특별시 송파구 잠실본동 삼전로 67,37.504832,127.088065,2-star hotel,Jamsil Tourist Hotel.,"67, Samjeon-ro, Jamsilbon-dong, Songpa-gu, Seoul",hotel60,2.8,연락처: 02-421-2761
57,2성급 호텔,호텔에어포트,서울특별시 강서구 공항동 11-21,37.5613975,126.8142964,2-star hotel,Hotel Airport.,"63, Gonghang-daero, Gangseo-gu, Seoul, Republic of Korea",hotel61,3.3,연락처: 02-2662-1113
58,2성급 호텔,CF호텔,서울특별시 강남구 역삼동  720-33,37.5012302,127.0422585,2-star hotel,Commercial hotel.,"10, Eonju-ro 85-gil, Gangnam-gu, Seoul, Republic of Korea",hotel62,3.7,연락처: 02-3453-3355
59,3성급 호텔,TheK호텔 서울,서울특별시 서초구 양재동 바우뫼로12길 70,37.4661195,127.0326724,3-star hotel,The-K Seoul Hotel (Good The K Seoul Hotel),"70, Baumoe-ro 12-gil, Seocho-gu, Seoul, Republic of Korea",hotel63,3.9,연락처: 02-571-8100
60,3성급 호텔,가야라트리호텔,서울특별시 용산구 남영동 한강대로 253,37.5408018,126.9723084,3-star hotel,Gaya Tourist Hotel.,"253, Hangang-daero, Namyeong-dong, Yongsan-gu, Seoul",hotel64,4.1,연락처: 02-798-5101
61,2성급 호텔,고궁호텔,서울특별시 종로구 원남동 177-1 고궁호텔,37.5757113,126.996793,2-star hotel,The old palace hotel.,"177-1 Palace Hotel in Wonnam-dong, Jongno-gu, Seoul",hotel65,3.1,연락처: 02-741-3831
62,2성급 호텔,베니키아강남노블레스호텔,서울특별시 강남구 역삼동 642-2,37.4928644,127.0409812,2-star hotel,Noblesse.,"6-13, Teheran-ro 25-gil, Gangnam-gu, Seoul, Republic of Korea",hotel66,3.6,연락처: 02-558-1202
63,3성급 호텔,녹스호텔,서울특별시 강남구 역삼1동 역삼동 677-13,37.502705,127.039788,3-star hotel,Knox Hotel.,"13-13, Teheran-ro 37-gil, Gangnam-gu, Seoul, Republic of Korea",hotel67,3.8,연락처: 02-3454-1888
64,2성급 호텔,뉴오리엔탈호텔,서울특별시 중구 명동 퇴계로14길 1,37.5602735,126.9836799,2-star hotel,New Oriental Hotel.,"1-gil, Toegye-ro 14-gil, Jung-gu, Seoul",hotel68,4.2,연락처: 02-753-0701
65,2성급 호텔,뉴천지관광호텔,서울특별시 중구 을지로5가 133-1,37.5659043,127.0033344,2-star hotel,New Cheonji Tourist Hotel.,"133-1, Euljiro 5-ga, Jung-gu, Seoul",hotel69,3.2,연락처: 02-2265-6131
66,2성급 호텔,뉴힐탑호텔,서울특별시 강남구 논현동 151-30,37.5115051,127.0314517,2-star hotel,New Hilltop Tourist Hotel.,"647, Nonhyeon-ro, Gangnam-gu, Seoul, Republic of Korea",hotel70,3.4,연락처: 02-540-3456
67,4성급 호텔,더리버사이드호텔,서울특별시 서초구 잠원동 6-1,37.518566,127.0181364,4-star hotel,The Riverside Hotel.,"6, Gangnam-daero 107-gil, Seocho-gu, Seoul, Republic of Korea",hotel71,3.7,연락처: 02-6710-1100
68,3성급 호텔,라뉘호텔,서울특별시 마포구 노고산동 106-15,37.5534,126.9361,3-star hotel,LANUI Hotel.,"20, Seogang-ro 20-gil, Mapo-gu, Seoul, Republic of Korea",hotel72,3.4,연락처: 02-711-3339
69,미정,라바호텔,서울특별시 서초구 서초동 1594-5,37.4864587,127.0136029,Undetermined,Lava Hotel.,"40, Hyoryeong-ro 53-gil, Seocho-gu, Seoul, Republic of Korea",hotel73,3.3,연락처: 02-3471-0321
70,미정,라자호텔,서울특별시 송파구 방이2동 28-5,37.515367,127.108224,Undetermined,Raja Hotel.,"11-21, Ogeum-ro 11-gil, Songpa-gu, Seoul, Republic of Korea",hotel74,2.5,연락처: 02-412-5001
71,3성급 호텔,레인보우호텔,서울특별시 용산구 갈월동 98-2 레인보우호텔,37.5414013,126.9721282,3-star hotel,Rainbow Hotel.,"48, Hangang-daero 71-gil, Yongsan-gu, Seoul, Republic of Korea",hotel75,3.6,연락처: 02-792-9993
72,3성급 호텔,렉스관광호텔,서울특별시 강남구 논현동 18-2 렉스관광호텔,37.514339,127.0204399,3-star hotel,Rex Tourist Hotel.,"588, Gangnam-daero, Gangnam-gu, Seoul, Republic of Korea",hotel76,3.7,연락처: 02-511-4488
73,3성급 호텔,호텔썬비,서울특별시 종로구 인사동7길 26,37.573031,126.984748,3-star hotel,Sunbe Hotel.,"26, Insadong 7-gil, Jongno-gu, Seoul, Republic of Korea",hotel77,4.2,연락처: 02-730-3451
74,3성급 호텔,아르고호텔,서울특별시 강동구 길동 415-18,37.53608,127.136843,3-star hotel,Argo Hotel.,"93, Jinhwangdo-ro, Gangdong-gu, Seoul, Republic of Korea",hotel78,3.5,연락처: 02-470-2500
75,3성급 호텔,엘르인호텔,서울특별시 용산구 남영동 한강대로71길 24,37.5403087,126.9721749,3-star hotel,Ellein Hotel.,"24 Hangang-daero 71-gil, Namyeong-dong, Yongsan-gu, Seoul",hotel79,3.7,연락처: 02-792-8700
76,3성급 호텔,엠비즈호텔,서울특별시 강남구 삼성동 144-5,37.5075145,127.0550566,3-star hotel,Mbiz Hotel.,"144-5 Samseong-dong, Gangnam-gu, Seoul",hotel80,3.6,연락처: 02-539-1722
77,2성급 호텔,영빈호텔사우나,서울특별시 중구 쌍림동 240,37.563008,127.0055225,2-star hotel,Youngbin Hotel Sauna.,"18, Toegye-ro 56-gil, Jung-gu, Seoul, Republic of Korea",hotel81,3.9,연락처: 02-2277-1141
78,4성급 호텔,서울올림픽파크텔,서울특별시 송파구 방이동 올림픽로 448,37.5225091,127.1166398,4-star hotel,Olympic Parktel.,"448, Olympic-ro, Songpa-gu, Seoul, Republic of Korea",hotel82,3.8,연락처: 02-410-2114
79,2.5성급 호텔,이사벨호텔,서울특별시 금천구 독산동 152-10,37.4871139,127.0140602,2.5-star hotel,Isabel Hotel.,"50, Gasan-ro, Geumcheon-gu, Seoul, Republic of Korea",hotel83,4.2,연락처: 02-868-6371
80,미정,자이언트호텔,서울특별시 강남구 삼성2동 봉은사로 459,37.5123205,127.0497696,Undetermined,Giant Hotel.,"459 Bongeunsa-ro, Samseong 2-dong, Gangnam-gu, Seoul",hotel84,3.2,연락처: 02-546-0225
81,미정,준희빈호텔,서울특별시 마포구 합정동 380-11,37.5481756,126.9110584,Undetermined,Junheebin Hotel.,"380-11 Hapjeong-dong, Mapo-gu, Seoul",hotel85,3.1,연락처: 02-332-3331
82,3성급 호텔,코보스호텔,서울특별시 영등포구 여의도동 국회대로72길 9,37.5301757,126.9206702,3-star hotel,Kobos Hotel.,"9, Gukhoe-daero 72-gil, Yeongdeungpo-gu, Seoul, Republic of Korea",hotel86,3.9,연락처: 02-782-9092
83,3성급 호텔,토요코인 서울동대문2,서울특별시 중구 광희동2가  73,37.5642119,127.0080415,3-star hotel,Saturday coin.,"337, Toegye-ro, Jung-gu, Seoul, Republic of Korea",hotel87,4.3,연락처: 02-2272-1045
84,2성급 호텔,톰지호텔,서울특별시 송파구 방이동 37-1,37.515546,127.10954,2-star hotel,Tom's Motel.,"21-12, Ogeum-ro 11-gil, Songpa-gu, Seoul, Republic of Korea",hotel88,3.5,연락처: 02-123-3456
85,2성급 호텔,프린세스호텔,서울특별시 강남구 신사동 641-1,37.5273481,127.0366243,2-star hotel,Princess Hotel.,"17, Apgujeong-ro 46-gil, Gangnam-gu, Seoul, Republic of Korea",hotel89,3.4,연락처: 02-544-0366
86,미정,호텔G,서울특별시 강남구 논현동 56-21,37.506801,127.0314853,Undetermined,Hotel G.,"141, Hakdong-ro, Gangnam-gu, Seoul, Republic of Korea",hotel90,리뷰없음,연락처: 02-542-1511
87,미정,호텔라까사,서울특별시 강남구 신사동 527-2 라까사호텔,37.5221501,127.0195533,Undetermined,Hotel lacasa.,"83, Dosan-daero 1-gil, Gangnam-gu, Seoul, Republic of Korea",hotel91,4,연락처: 02-543-0079
88,3성급 호텔,호텔마인드,서울특별시 금천구 가산동 141-1,37.47881,126.89095,3-star hotel,Hotel Mind.,"1262, Nambusunhwan-ro, Geumcheon-gu, Seoul, Republic of Korea",hotel92,4.1,연락처: 02-839-1222
