,name,representative,address,lat,lng,english_name,english_representative,english_address,picture_name,service_option,star_rate,operation_time,telephone_number,english_operation_time,english_service_option
13,한옥집,김치찌개,서울특별시 서대문구 냉천동 178,37.5672361,126.9643216,Hanok house.,Kimchi stew,"14, Tongil-ro 9an-gil, Seodaemun-gu, Seoul, Republic of Korea",matzip14,"매장 내 식사, 테이크아웃, 배달 서비스",3.8,매일 오전 10:00~오후 10:00,02-362-8653,Every day from 10:00am to 10:00pm,"In-store meals, To go, Delivery service"
14,광화문집,김치찌개,서울특별시 종로구 당주동 43,37.5712095,126.9749615,Gwanghwamun house.,Kimchi stew,"12, Saemunan-ro 5-gil, Jongno-gu, Seoul, Republic of Korea",matzip15,"매장 내 식사, 테이크아웃, 배달이 안 됨",3.6,매일 오전 9:00~오후 10:00,02-739-7737,Every day from 9:00am to 10:00pm,"In-store meals, To go, No delievery"
15,메밀꽃필무렵,메밀,서울특별시 종로구 통의동 7-23,37.5788633,126.9736867,Buckwheat flowers.,Buckwheat,"31-1, Hyoja-ro, Jongno-gu, Seoul, Republic of Korea",matzip16,"매장 내 식사, 테이크아웃, 배달이 안 됨",4.3,"월요일 - 금요일 오후 12:00~2:00, 오후 5:00~8:00
토요일 오후 12:00~2:00, 오후 5:00~7:00
일요일 휴무일",02-734-0367,"Mon. - Fri. 12:00pm - 2:00pm, 5:00pm - 8:00pm
Sat. 12:00pm~2:00pm, 5:00pm~7:00pm
Closed on Sun.","In-store meals, To go, No delievery"
16,긴자 바이린,돈까스,서울특별시 종로구 사간동 93,37.5775347,126.9804599,Ginza By Lynn.,Pork cutlet,"37, Yulgok-ro 1-gil, Jongno-gu, Seoul, Republic of Korea",matzip17,"매장 내 식사, 테이크아웃",4.1,"매일 오전 11:30~오후 2:30, 오후 5:30~8:45",02-734-9765,"Every day from 11:30am to 2:30pm, from 5:30pm to 8:45pm","In-store meals, To go"
17,감촌,순두부,서울특별시 종로구 청진동 166,37.5708033,126.9798544,Gamchon.,soft tofu,"166 Cheongjin-dong, Jongno-gu, Seoul, Republic of Korea",matzip18,"매장 내 식사, 배달이 안 됨",3.6,"월요일 - 토요일 오전 9:30~오후 10:00
일요일 휴무일",02-733-7035,"Mon. - Sat. 9:30am - 10:00pm
Closed on Sun.","In-store meals, No delievery"
18,브루클린 더버거 조인트,수제버거,서울특별시 서초구 반포동 551-32,37.4960698,126.9997306,Brooklyn The Burger Joint.,Handmade burger.,"51-13, Donggwang-ro 43-gil, Seocho-gu, Seoul, Republic of Korea",matzip19,"매장 내 식사, 테이크아웃",4.3,매일 오전 11:00~오후 10:00,02-533-7180,Every day from 11:00am to 10:00pm,"In-store meals, To go"
19,외고집설렁탕,설렁탕,서울특별시 강남구 대치4동 923-22,37.5110533,127.054161,Oegojip seolleongtang (Seolleongtang.,Seolleongtang,"15, Seolleung-ro 64-gil, Gangnam-gu, Seoul, Republic of Korea",matzip20,"매장 내 식사, 테이크아웃, 배달이 안 됨",4.1,"월요일 - 토요일 오전 11:00~오후 9:00
일요일 휴무일",02-567-5225,"Mon. - Sat. 11:00am - 9:00pm
Closed on Sun.","In-store meals, To go, No delievery"
20,평래옥,평양냉면,서울특별시 중구 저동2가 18-1,37.5648739,126.9903717,Pyeongraeok.,Pyongyang naengmyeon.,"21-1, Mareunnae-ro, Jung-gu, Seoul, Republic of Korea",matzip21,"매장 내 식사, 테이크아웃, 배달이 안 됨",3.8,"매일 오전 11:15~오후 3:30, 오후 5:00~9:30",02-2267-5892,"Every day 11:15am~3:30pm, 5:00~9:30pm","In-store meals, To go, No delievery"
21,타지 본점,인도음식,서울특별시 중구 명동1가 1-3,37.5643209,126.9862195,The main branch in other cities.,Indian food.,"8-2, Myeongdong 11-gil, Jung-gu, Seoul, Republic of Korea",matzip22,"매장 내 식사, 테이크아웃, 배달이 안 됨",4.1,매일 오전 11:30~오후 10:00,02-776-0677,Every day from 11:30am to 10:00pm,"In-store meals, To go, No delievery"
22,일미식당,청국장,서울특별시 종로구 낙원동 284-6,37.5726662,126.9878079,Japanese restaurant.,Cheonggukjang,"428, Samil-daero, Jongno-gu, Seoul, Republic of Korea",matzip23,"매장 내 식사, 배달이 안 됨",4,"월요일 - 토요일 오전 11:00~오후 9:00
일요일 휴무일",02-766-6588,"Mon. - Sat. 11:00am - 9:00pm
Closed on Sun.","In-store meals, No delievery"
23,하동관,곰탕,서울특별시 중구 명동1가 10-4,37.5643946,126.9850185,Hadonggwan.,Beef-bone soup,"12, Myeongdong 9-gil, Jung-gu, Seoul, Republic of Korea",matzip24,"매장 내 식사, 테이크아웃",3.7,매일 오전 7:00~오후 4:00,02-776-5656,Every day from 7:00am to 4:00pm,"In-store meals, To go"
24,마산해물아구찜,아구찜,서울특별시 종로구 낙원동 45-3,37.5727966,126.9885677,Braised Spicy Seafood in Masan.,Steamed monkfish.,"436-1, Samil-daero, Jongno-gu, Seoul, Republic of Korea",matzip25,"매장 내 식사, 테이크아웃",4,매일 오전 11:00~오후 10:00,02-741-2109,Every day from 11:00am to 10:00pm,"In-store meals, To go"
25,조선김밥,김밥,서울특별시 종로구 소격동 159,37.5785715,126.9821938,Joseon kimbap.,rice roll,"78, Yulgok-ro 1-gil, Jongno-gu, Seoul, Republic of Korea",matzip26,"매장 내 식사, 테이크아웃, 배달이 안 됨",3.8,"월요일 - 토요일 오전 11:00~오후 3:00, 오후 4:30~8:00
일요일 휴무일",02-723-7496,"Mon. - Sat. 11:00 am - 3:00 pm, 4:30 am - 8:00 pm
Closed on Sun.","In-store meals, To go, No delievery"
26,목멱산방,육회비빔밥,서울특별시 중구 예장동 산 5-6,37.5580879,126.9868818,Mokmyeoksanbang.,Raw beef mixed with rice,"627, Namsangongwon-gil, Jung-gu, Seoul, Republic of Korea",matzip27,"매장 내 식사, 테이크아웃, 배달이 안 됨",3.9,매일 오전 11:00~오후 8:30,02-318-4790,Every day from 11:00am to 8:30pm,"In-store meals, To go, No delievery"
27,이태리재,파스타,서울특별시 종로구 소격동 158-1,37.5787648,126.9817259,Italianjae.,Pasta,"74-9, Yulgok-ro 1-gil, Jongno-gu, Seoul, Republic of Korea",matzip28,"매장 내 식사, 배달이 안 됨",4.1,"화요일 - 일요일 오후 12:00~3:00, 오후 6:00~10:00
월요일 휴무일",070-4233-6262,"Tue. - Sun. 12:00pm~3:00pm, 6:00pm~10:00pm.
Closed on Mon.","In-store meals, No delievery"
28,레호이,베트남쌀국수 #반미,서울특별시 용산구 이태원동 261-9,37.5431963,126.9901493,Rehoi.,Vietnamese rice noodles #Banh Mi.,"5, Sowol-ro 38ga-gil, Yongsan-gu, Seoul, Republic of Korea",matzip29,"매장 내 식사, 테이크아웃",4.1,"화요일 - 일요일 오후 12:00~3:00, 오후 5:00~10:00
월요일 휴무일",070-4242-0426,"Tue. - Sun. 12:00pm~3:00pm, 5:00pm~10:00pm.
Closed on Mon.","In-store meals, To go"
29,멘야하나비,일본라면,서울특별시 송파구 송파동 57,37.5109726,127.1077723,Menya Hanabi.,Japanese ramen.,"38, Baekjegobun-ro 45-gil, Songpa-gu, Seoul, Republic of Korea",matzip30,"매장 내 식사, 테이크아웃",4.2,"화요일 - 금요일 오전 11:30~오후 2:00, 오후 6:00~9:00
토요일 - 일요일 오전 11:30~오후 2:30, 오후 5:30~8:30
월요일 휴무일",070-8959-1108,"Tue. - Fri. 11:30am - 2:00pm, 6:00pm - 9:00pm
Sat. - Sun. 11:30am - 2:30pm, 5:30pm - 8:30pm
Closed on Mon.","In-store meals, To go"
30,명동돈가스,돈가스,서울특별시 중구 명동1가 59-13,37.5639929,126.9835683,Myeongdong pork cutlet.,Pork Cutlet,"8, Myeongdong 3-gil, Jung-gu, Seoul, Republic of Korea",matzip31,"매장 내 식사, 테이크아웃, 배달이 안 됨",3.9,매일 오전 11:00~오후 9:00,02-775-5300,Every day from 11:00am to 9:00pm,"In-store meals, To go, No delievery"
31,대복집,된장전골,서울특별시 종로구 적선동 13-2,37.5761724,126.9738585,Daebokjip.,Soybean paste hot pot.,"137-9, Sajik-ro, Jongno-gu, Seoul, Republic of Korea",matzip32,"매장 내 식사, 배달이 안 됨",4.3,"월요일 - 금요일 오전 11:40~오후 2:00, 오후 6:00~9:00
토요일 - 일요일 휴무일",02-736-8029,"Mon. - Fri. 11:40am - 2:00pm, 6:00pm - 9:00pm
Closed on Sat. and Sun.","In-store meals, No delievery"
32,크래프트루,맥주 안주,서울특별시 종로구 익선동 166-57,37.5730458,126.9894524,Craft Roo.,A snack for beer.,"17-7, Supyo-ro 28-gil, Jongno-gu, Seoul, Republic of Korea",matzip33,"매장 내 식사, 테이크아웃",4.1,"월요일 - 금요일 오후 3:00~9:00
토요일- 일요일 오후 12:00~9:00",070-7808-0001,"Mon. - Fri. 3:00pm~9:00pm
Sat. - Sun. 12:00pm~9:00pm","In-store meals, To go"
33,어바웃진스,바비큐,서울특별시 종로구 사직로8길 24 내수동 71,37.573978,126.971081,About Jin's,Barbecue.,"24, Sajik-ro 8-gil, Jongno-gu, Seoul, Republic of Korea",matzip34,"매장 내 식사, 테이크아웃",4.3,"월요일 - 금요일 오전 11:30~오후 2:00, 오후 5:00~10:00
토요일 오전 12:00~오후 9:00
일요일 휴무일",02-737-0927,"Mon. - Fri. 11:30am - 2:00pm, 5:00pm -10:00pm
Sat. from 12:00am to 9:00pm.
Closed on Sun.","In-store meals, To go"
34,사랑방참숯화로구이,삼겹살,서울특별시 용산구 신흥로36길 4,37.5463549,126.981772,Charcoal from Sarangbang.,Pork belly,"4, Sinheung-ro 36-gil, Yongsan-gu, Seoul, Republic of Korea",matzip35,"매장 내 식사, 배달이 안 됨",4.4,매일 오후 16:00 ~ 22:30,02-774-5950,Every day from 16:00 to 22:30pm,"In-store meals, No delievery"
35,고봉삼계탕,삼계탕,서울특별시 강남구 봉은사로 524 삼성동 159,37.5125144,127.0599445,Gobong Samgyetang.,Samgyetang,"524, Bongeunsa-ro, Gangnam-gu, Seoul, Republic of Korea",matzip36,"매장 내 식사, 테이크아웃",4.1,매일 오전 10:30~오후 10:00,02-551-0080,Every day from 10:30am to 10:00pm,"In-store meals, To go"
36,종로진낙지,산낙지 철판볶음,서울특별시 종로구 수표로 122 낙원동 139,37.5721087,126.9891051,Jongnojin Octopus.,Stir-fried raw octopus.,"122, Supyo-ro, Jongno-gu, Seoul, Republic of Korea",matzip37,"매장 내 식사, 테이크아웃",3.7,매일 오전 11:00~오후 10:00,02-742-0621,Every day from 11:00am to 10:00pm,"In-store meals, To go"
37,남도분식,빨콩떡볶이 #상추튀김,서울특별시 종로구 옥인길 33 누상동 52-2,37.5809032,126.9669254,Namdo Snack.,Red bean tteokbokki #Fried lettuce.,"33, Ogin-gil, Jongno-gu, Seoul, Republic of Korea",matzip38,"매장 내 식사, 테이크아웃",3.8,매일 오전 11:30 ~ 오후 8:30,02-723-7775,Every day from 11:30am to 8:30pm,"In-store meals, To go"
38,오모리찌개,오모리찌개 #옛날 손짜장,서울특별시 송파구 송파대로 471 석촌동 183-3,37.5080312,127.1040756,Omori stew.,Omori stew #Old-fashioned black bean noodles.,"471, Songpa-daero, Songpa-gu, Seoul, Republic of Korea",matzip39,"매장 내 식사, 테이크아웃, 배달이 안 됨",3.7,매일 24시간 영업,02-2203-0067,Every day open 24 hours a day,"In-store meals, To go, No delievery"
39,창화당,모둠만두 #떡볶이,서울특별시 종로구 수표로28길 23 익선동 174 1층,37.5729148,126.9898228,Changhwadang.,Group dumplings #Tteokbokki.,"23, Supyo-ro 28-gil, Jongno-gu, Seoul, Republic of Korea",matzip40,"매장 내 식사, 테이크아웃, 배달이 안 됨",3.8,매일 오전 11:30~오후 9:00,070-8825-0908,Every day from 11:30am to 9:00pm,"In-store meals, To go, No delievery"
40,은호식당,꼬리토막,서울특별시 중구 남창동 50-43,37.5589755,126.9770366,Eunho's restaurant.,A piece of tail.,"28-4, Namdaemunsijang 4-gil, Jung-gu, Seoul, Republic of Korea",matzip41,"매장 내 식사, 테이크아웃, 배달이 안 됨",3.7,"월요일 - 금요일 오전 6:00~오후 9:00
토요일 - 일요일 오전 6:00~오후 4:00",02-753-3263,"Mon. - Fri. 6:00am - 9:00pm
Sat. - Sun. 6:00am - 4:00pm","In-store meals, To go, No delievery"
41,청진옥,해장국,서울특별시 종로구 종로1가 24,37.5716911,126.9794619,Cheongjinok.,Hangover soup,"19, Jong-ro, Jongno-gu, Seoul, Republic of Korea",matzip42,"매장 내 식사, 테이크아웃, 배달이 안 됨",3.8,매일 24시간 영업,02-735-1690,Every day open 24 hours a day,"In-store meals, To go, No delievery"
42,강서면옥,평양냉면,서울특별시 중구 서소문동 120-15,37.5620353,126.9739145,Gangseo Myeonok.,Pyongyang naengmyeon.,"35, Sejong-daero 11-gil, Jung-gu, Seoul, Republic of Korea",matzip43,"매장 내 식사, 테이크아웃, 배달이 안 됨",3.5,매일 오전 11:00~오후 10:00,02-752-1945,Every day from 11:00am to 10:00pm,"In-store meals, To go, No delievery"
43,시추안하우스,사천요리,서울특별시 강남구 삼성동 154-11,37.5096878,127.0582138,Shichuan House.,Sichuan food.,"29, Teheran-ro 87-gil, Gangnam-gu, Seoul, Republic of Korea",matzip45,"매장 내 식사, 테이크아웃",3.9,매일 오전 11:30~오후 10:00,02-508-1320,Every day ffrom 11:30am to 10:00pm,"In-store meals, To go"
44,대갈곱창&막창,돼지막창구이,서울특별시 송파구 송파동 39-9,37.5099014,127.1089643,Grilled tripe and entrails.,Grilled pork entrails.,"21-1, Baekjegobun-ro 45-gil, Songpa-gu, Seoul, Republic of Korea",matzip46,"매장 내 식사, 테이크아웃",3.9,매일 오후 16:00~오전 01:00,02-425-0892,Every day from 16:00pm to 01:00am,"In-store meals, To go"
45,바오차이,딤섬,서울특별시 중구 을지로 2가 148-28,37.5658431,126.9887144,Baochai.,Dimsum,"148-28, Euljiro 2-ga, Jung-gu, Seoul, Republic of Korea",matzip47,"매장 내 식사, 테이크아웃, 배달이 안 됨",3.9,"월요일 - 금요일 오전 11:30~오후 3:00, 오후 5:00~9:30
토요일  - 일요일 오전 11:00~오후 2:30, 오후 5:00~8:30",02-6031-0107,"Mon. - Fri. 11:30am - 3:00pm, 5:00pm - 9:30pm
Sat. - Sun. 11:00am - 2:30pm, 5:30pm - 8:30pm","In-store meals, To go, No delievery"
46,두툼,삼겹살,서울특별시 중구 중림동 200,37.5582293,126.9664628,Thick.,Pork belly,"10, Jungnim-ro, Jung-gu, Seoul, Republic of Korea",matzip48,"매장 내 식사, 배달이 안 됨",4.3,"월요일 - 금요일 오후 2:00~오전 9:00
토요일 - 일요일 오후 12:00~9:00",02-392-8592,"Mon. - Fri. 2:00pm~9:00am
Sat. - Sun. 12:00pm~9:00pm","In-store meals, No delievery"
47,원조남산왕돈까스,왕돈가스,서울특별시 중구 예장동 8-53,37.5560558,126.9795066,Original Namsan king pork cutlet.,Big pork cutlet.,"107, Sopa-ro, Jung-gu, Seoul, Republic of Korea",matzip49,"매장 내 식사, 테이크아웃, 배달이 안 됨",3.1,매일 오전 9:30~오후 11:00,02-755-3370,Every day from 9:30am to 11:00pm,"In-store meals, To go, No delievery"
48,메이탄,양장피,서울특별시 종로구 교남동 50-1,37.5685081,126.9646006,Maytan.,Sheepskin.,"17, Gyeonggyojang 1-gil, Jongno-gu, Seoul, Republic of Korea",matzip51,"매장 내 식사, 테이크아웃",4,매일 오전 11:00~오후 9:30,02-738-6686,Every day from 11:00am to 9:30pm,"In-store meals, To go"
49,곰바위,곱창,서울특별시 강남구 삼성1동 76-10,37.514848,127.058769,Bear rock.,intestine,"10, Yeongdong-daero 115-gil, Gangnam-gu, Seoul, Republic of Korea",matzip53,"매장 내 식사, 테이크아웃",4.1,매일 오전 11:00~오후 10:00,02-511-0068,Every day from 11:00am to 10:00pm,"In-store meals, To go"
50,워킹온더클라우드,유럽식,서울특별시 영등포구 여의도동 60,37.5193776,126.9402103,Working on the cloud.,European style.,"50, 63-ro, Yeongdeungpo-gu, Seoul, Republic of Korea",matzip54,"매장 내 식사, 테이크아웃이 안 됨, 배달이 안 됨",4.5,"매일 오전 11:30~오후 3:00, 오후 5:30~오전 12:00",02-789-5904,"Every day from 11:30am to 3pm, from 5:30am to 12:00am","In-store meals, No to go, No delievery"
51,카페뎀셀브즈,디저트,서울특별시 종로구 관철동 5-8,37.5691757,126.9879382,Cafe Dem Celves.,Dessert,"388, Samil-daero, Jongno-gu, Seoul, Republic of Korea",matzip55,"매장 내 식사, 테이크아웃",4.2,매일 오전 10:00~오후 11:00,02-2266-5947,Every day from 10:00am to 11:00pm,"In-store meals, To go"
52,백리향,일반중식,서울특별시 영등포구 여의도동 60,37.5195933,126.9396932,Baengli scent.,Normal Chinese food.,"50, 63-ro, Yeongdeungpo-gu, Seoul, Republic of Korea",matzip56,"매장 내 식사, 배달이 안 됨",4.4,"매일 오전 11:30~오후 3:00, 오후 5:30~10:00",02-789-5741,"Every day from 11:30am to 3pm, from 5:30pm to 10:00pm","In-store meals, No delievery"
53,슈치쿠,일식,서울특별시 영등포구 여의도동 60,37.5194647,126.9398326,Shuchiku.,an eclipse of the sun,"50, 63-ro, Yeongdeungpo-gu, Seoul, Republic of Korea",matzip57,"매장 내 식사, 배달이 안 됨",4.4,"매일 오전 11:30~오후 3:00, 오후 5:30~10:00",02-789-5751,"Every day from 11:30am to 3pm, from 5:30pm to 10:00pm","In-store meals, No delievery"
54,품 서울,모던한식,서울특별시 용산구 후암동 358-17,37.5490343,126.9834104,Poom Seoul.,Modern Korean food.,"49, Duteopbawi-ro 60-gil, Yongsan-gu, Seoul, Republic of Korea",matzip58,"매장 내 식사, 배달이 안 됨",4.3,"월요일 - 토요일 오후 12:00~3:00, 오후 6:00~10:00
일요일 휴무일",02-777-9007,"Mon. - Sat. 12:00pm~3:00pm, 6:00~10:00pm
Closed on Sun.","In-store meals, No delievery"
55,대성집,도가니탕,서울특별시 종로구 행촌동 209-36,37.5727479,126.9608911,A great house.,Dog knee soup.,"16-11, Tongil-ro 12-gil, Jongno-gu, Seoul, Republic of Korea",matzip59,"매장 내 식사, 테이크아웃, 배달이 안 됨",4.2,"월요일 - 토요일 오전 11:00~오후 3:00
일요일 휴무일",02-735-4259,"Mon. - Sat. 11:00am - 3:00pm
Closed on Sun.","In-store meals, To go, No delievery"
56,비채나,모던한식,서울특별시 용산구 한남동 740-1,37.5265765,127.0009039,Or beef.,Modern Korean food.,"267, Itaewon-ro, Yongsan-gu, Seoul, Republic of Korea",matzip60,"매장 내 식사, 테이크아웃이 안 됨, 배달이 안 됨",4.4,"매일 오전 11:30~오후 2:30, 오후 6:00~10:00",02-1811-1870,"Every day from 11:30am to 2:30pm, from 6:00pm to 10:00pm","In-store meals, No to go, No delievery"
57,두가헌,유럽식,서울특별시 종로구 사간동 109,37.5770902,126.9802848,Dugaheon.,European style.,"109, Sagan-dong, Jongno-gu, Seoul, Republic of Korea",matzip61,"매장 내 식사, 배달이 안 됨",4.4,"월요일 - 토요일 오후 12:00~2:30, 오후 6:00~10:00
일요일 휴무일",02-3210-2100,"Mon. - Sat. 12:30pm~2:30pm, 6:00pm~10:00pm
Closed on Sun.","In-store meals, No delievery"
58,더레스토랑,프랑스식,서울특별시 종로구 소격동 59-1,37.5808101,126.9803885,The Restaurant.,French style.,"54, Samcheong-ro, Jongno-gu, Seoul, Republic of Korea",matzip62,"매장 내 식사, 배달이 안 됨",4.2,"매일 오후 12:00~3:00, 오후 6:00~10:00",02-735-8441,"Every day from 12pm to 3pm, from 6:00pm to 10:00pm","In-store meals, No delievery"
59,유 유안,베이징덕# 딤섬# 광둥식요리# 중식,서울특별시 종로구 새문안로 97 당주동 29,37.5704383,126.9755391,Four Seasons Hotel Seoul Yuyuan.,Beijing duck# dim sum# Cantonese food# Chinese food.,"97, Saemunan-ro, Jongno-gu, Seoul, Republic of Korea",matzip64,"매장 내 식사, 테이크아웃, 배달이 안 됨",4.5,"월요일 - 금요일 오전 11:30~오후 2:30,  오후 17:30~21:30
토요일 - 일요일 오전 11:30~오후 2:30",02-6388-5500,"Mon. - Fri. 11:30am - 2:30pm,  4:30pm - 9:30pm
Sat. - Sun. 11:30am - 2:30pm","In-store meals, To go, No delievery"
60,보름쇠,바비큐,서울특별시 강남구 삼성동 155-5 ,37.5092786,127.056619,A full-time servant.,Barbecue.,"36, Teheran-ro 81-gil, Gangnam-gu, Seoul, Republic of Korea",matzip65,"매장 내 식사, 테이크아웃이 안 됨, 배달이 안 됨",4.1,"매일 오전 11:30~오후 3:00, 오후 5:00~10:00",02-569-9967,"Every day from 11:30am to 3:00pm, from 5:00pm to 10:00pm","In-store meals, No to go, No delievery"
61,올드나이브스,스테이크,서울특별시 용산구 용산동2가 27-5,37.5430796,126.9875277,Old Knights.,Steak,"4, Sinheung-ro 11-gil, Yongsan-gu, Seoul, Republic of Korea",matzip66,"매장 내 식사, 배달이 안 됨",4.4,"월요일 - 금요일 오후 6:00~오전 2:00
토요일 - 일요일 오후 5:00~오전 2:00",070-7763-4001,"Mon. - Fri. 6:00pm~ 2:00am
Sat. - Sun. 5:00pm~ 2:00am","In-store meals, No delievery"
62,침니펍,생크림 굴뚝빵,서울특별시 종로구 통의동 35-4,37.5766177,126.974033,Chimney pub.,Fresh cream chimney bread.,"7-1, Hyoja-ro, Jongno-gu, Seoul, Republic of Korea",matzip67,"매장 내 식사, 매장 밖 수령, 비대면 배달",4.3,"월요일 - 금요일 오전 11:30~오후 10:00
토요일 - 일요일 오후 2:30~10:00",010-4668-7987,"Mon. - Fri. 11:30am - 10:00pm
Sat. - Sun. 2:30pm~10pm","In-store meals, get soemthing Out of the store, Non-Contact delivery"
63,더풍년,모듬해물,서울특별시 서대문구 통일로 189-1 영천동 323,37.5697551,126.9619288,The Poongnyeon.,assorted seafood.,"189, Tongil-ro, Seodaemun-gu, Seoul, Republic of Korea",matzip68,매장 내 식사,4.2,"월요일 - 토요일 오후 5:00~오전 1:00
일요일 휴무일",0507-1325-5069,"Mon. - Sat. 5:00pm - 1:00am
Closed on Sun.",In-store meals
64,미자식당,명란돈가쓰,서울특별시 송파구 송파동 51-9,37.5098232,127.1102439,Mija Restaurant.,Pollack roe pork cutlet.,"14, Ogeum-ro 18-gil, Songpa-gu, Seoul, Republic of Korea",matzip69,"매장 내 식사, 테이크아웃",3.4,"화요일 - 일요일 오전 11:30~오후 2:30, 오후 5:30~8:30
월요일 휴무일",050-71432-0814,"Tue. - Sun. 11:30am-2:30pm, 5:30pm-8:30pm.
Closed on Mon.","In-store meals, To go"
